Title,ISSN
Applied Ergonomics,36870
Applied Geochemistry,8832927
Applied Intelligence,0924669X
Applied Mathematics and Computation,963003
Applied Neuropsychology: Child,21622965
Applied Physics Express,18820778
Applied Physics Letters,36951
Applied Research in Quality of Life,18712584
Applied Sciences (Switzerland),20763417
Applied Soft Computing,15684946
Applied Spectroscopy,37028
Applied Surface Science,1694332
Archivaria,3186954
Archives of Agronomy and Soil Science,3650340
Archives of Sexual Behavior,40002
Archives of Suicide Research,13811118
Armed Forces and Society,0095327X
Array,25900056
"Arthroscopy, Sports Medicine, and Rehabilitation",2666061X
"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering",23329017
Astronomical Journal,46256
Astronomy and Astrophysics,46361
Astrophysical Journal,0004637X
Astrophysical Journal Letters,20418205
"Astrophysical Journal, Supplement Series",670049
Atmosfera,1876236
Atmospheric Chemistry and Physics,16807316
Atmospheric Measurement Techniques,18671381
Atomization and Sprays,10445110
Australasian Journal of Philosophy,48402
Australian and New Zealand Journal of Family Therapy,0814723X
Baylor University Medical Center Proceedings,8998280
Behavioral Ecology and Sociobiology,3405443
Behavioral Medicine,8964289
Biochemical Journal,2646021
Biochimica et Biophysica Acta - Biomembranes,52736
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,13881981
Biochimica et Biophysica Acta - Molecular Basis of Disease,9254439
Bio-Design and Manufacturing,20965524
Biofabrication,17585082
"Biofuels, Bioproducts and Biorefining",1932104X
Biological Journal of the Linnean Society,244066
Biology,20797737
Biomedicines,22279059
Biomicrofluidics,19321058
Biomolecules,2218273X
Biophysical Journal,63495
Biosensors,20796374
Biotropica,63606
BMC Genomics,14712164
BMC Microbiology,14712180
BMJ Open Quality,23996641
Brain Sciences,20763425
"Brain, Behavior, and Immunity",8891591
Briefings in Bioinformatics,14675463
British Journal of Educational Psychology,70998
British Journal of Educational Technology,71013
British Journal of Nutrition,71145
Bryologist,72745
Building and Environment,3601323
Bulletin of Mathematical Biology,928240
Bulletin of the American Meteorological Society,30007
Burns,3054179
Business Horizons,76813
Business Strategy and the Environment,9644733
Calculus of Variations and Partial Differential Equations,9442669
Canadian Journal of Urology,11959479
Cancer Cell International,14752867
Cancer Research,85472
Carbohydrate Polymers,1448617
Cardiology in the Young,10479511
Cardiovascular Engineering and Technology,1869408X
Catena,3418162
CBE Life Sciences Education,19317913
CCS Chemistry,20965745
Cell Death and Differentiation,13509047
Cell Reports Physical Science,26663864
Cells,20734409
Ceramics International,2728842
Chemical Communications,13597345
Chemical Engineering Science,92509
Chemical Research in Toxicology,0893228X
Chemical Science,20416520
Chemico-Biological Interactions,92797
Chemistry - A European Journal,9476539
"Chemistry (Weinheim an der Bergstrasse, Germany)",15213765
Chemistry of Materials,8974756
Chemosphere,456535
Child Maltreatment,10775595
Children,22279067
Children and Youth Services Review,1907409
Chinese Journal of Chemistry,1001604X
Chronic Stress,24705470
Citizen Science: Theory and Practice,20574991
Civil Engineering and Environmental Systems,10286608
Cladistics,7483007
Clay Minerals,98558
Climate Change Ecology,26669005
Climate Risk Management,22120963
Clinical Lactation,21580782
Clinical Neuropsychologist,13854046
Clinical Nurse Specialist,8876274
Clinical Nutrition,2615614
Clinical Physiology and Functional Imaging,14750961
Clinical Psychology: Science and Practice,9695893
CMES - Computer Modeling in Engineering and Sciences,15261492
Coatings,20796412
Cognition,100277
Cognitive and Behavioral Practice,10777229
Colloids and Surfaces A: Physicochemical and Engineering Aspects,9277757
Combinatorial Chemistry and High Throughput Screening,13862073
Combustion and Flame,102180
Communication and Sport,21674795
Communication Education,3634523
Communication Monographs,3637751
Communication Research,936502
Communications Biology,23993642
Communications in Algebra,927872
Communications in Nonlinear Science and Numerical Simulation,10075704
Communications of the Association for Information Systems,15293181
Communications on Applied Mathematics and Computation,20966385
Community College Journal of Research and Practice,10668926
Community College Review,915521
Composites Communications,24522139
Computational and Theoretical Chemistry,2210271X
Computer Physics Communications,104655
Computer Systems Science and Engineering,2676192
Computers and Composition,87554615
Computers and Education,3601315
Computers in Human Behavior,7475632
Computers in Human Behavior Reports,24519588
"Computers, Materials and Continua",15462218
Conflict and Health,17521505
Construction and Building Materials,9500618
Contemporary Accounting Research,8239150
Contemporary Family Therapy,8922764
Contraception,107824
Control Theory and Technology,20956983
Corporate Social Responsibility and Environmental Management,15353958
Counseling Psychologist,110000
Critical Perspectives on Accounting,10452354
Critical Reviews in Biomedical Engineering,0278940X
Crop Science,0011183X
Crystal Growth and Design,15287483
CrystEngComm,14668033
Cultural Studies of Science Education,18711502
Current Psychology,10461310
Dalton Transactions,14779226
Data Base for Advances in Information Systems,950033
Death Studies,7481187
Defect and Diffusion Forum,10120386
Developmental Cognitive Neuroscience,18789293
Developmental Psychology,121649
Diabetology,26734540
Digestive Diseases and Sciences,1632116
Discrete and Continuous Dynamical Systems - Series B,15313492
Discrete Optimization,15725286
Diversity,14242818
Drug and Therapeutics Bulletin,126543
Early Child Development and Care,3004430
Early Childhood Research Quarterly,8852006
Earth's Future,23284277
East European Journal of Psycholinguistics,23123265
East European Politics,21599165
ecancermedicalscience,17546605
eClinicalMedicine,25895370
Ecological Engineering,9258574
Ecological Indicators,1470160X
Ecological Modelling,3043800
Ecological Monographs,129615
Ecology and Evolution,20457758
Economics Letters,1651765
Ecosphere,21508925
Ecotoxicology and Environmental Safety,1476513
Education Sciences,22277102
Educational Evaluation and Policy Analysis,1623737
Educational Studies - AESA,131946
Educational Theory,132004
Electoral Studies,2613794
Electronics (Switzerland),20799292
Elementa,23251026
eLife,2050084X
Emerging Infectious Diseases,10806040
Energies,19961073
Energy,3605442
Energy and Environmental Science,17545692
Energy and Fuels,8870624
Energy Economics,1409883
Energy Journal,1956574
Energy Research and Social Science,22146296
"Energy Sources, Part A: Recovery, Utilization and Environmental Effects",15567036
eNeurologicalSci,24056502
Engineering Analysis with Boundary Elements,9557997
Engineering with Computers,1770667
"Engineering, Construction and Architectural Management",9699988
Entrepreneurship: Theory and Practice,10422587
Entropy,10994300
Environment and Behavior,139165
Environmental and Experimental Botany,988472
Environmental Economics and Policy Studies,1432847X
Environmental Entomology,0046225X
Environmental Fluid Mechanics,15677419
Environmental Geotechnics,2051803X
Environmental Microbiomes,25246372
Environmental Pollution,2697491
Environmental Research,139351
Environmental Research Communications,25157620
Environmental Research Letters,17489318
Environmental Science and Technology,0013936X
Environmental Science: Processes and Impacts,20507887
Environmental Toxicology and Chemistry,7307268
"Equality, Diversity and Inclusion",20407149
Equine Veterinary Journal,4251644
Erasmus Studies,2762854
"Eurasia Journal of Mathematics, Science and Technology Education",13058215
European Journal of Archaeology,14619571
European Journal of Case Reports in Internal Medicine,22842594
European Journal of Engineering Education,3043797
European Journal of Information Systems,0960085X
"European Journal of Investigation in Health, Psychology and Education",21748144
European Journal of Law and Economics,9291261
European Journal of Physics,1430807
European Journal of Political Economy,1762680
European Journal of Science and Mathematics Education,2301251X
European Physical Journal C,14346044
European Review of Economic History,13614916
Event Management,15259951
Evolutionary Psychological Science,21989885
Exceptional Children,144029
Experimental Astronomy,9226435
Experimental Brain Research,144819
Experimental Gerontology,5315565
Experimental Neurology,144886
Expert Systems with Applications,9574174
Facial Plastic Surgery,7366825
Family Journal,10664807
Family Process,147370
Family Relations,1976664
Fashion and Textiles,21980802
Fashion Theory - Journal of Dress Body and Culture,1362704X
Fermentation,23115637
Field Crops Research,3784290
Finance Research Letters,15446123
Fire Ecology,19339747
Fluid Phase Equilibria,3783812
Fluids,23115521
Folia Phoniatrica et Logopaedica,10217762
Food Additives and Contaminants: Part B Surveillance,19393210
Food Policy,3069192
Food Protection Trends,15419576
Foods,23048158
Foreign Language Annals,0015718X
Foreign Policy Analysis,17438586
Forensic Chemistry,24681709
Forensic Science International: Reports,26659107
Forensic Sciences Research,20961790
Forests,19994907
Foundations and Trends in Marketing,15550753
Foundations of Physics,159018
Frontiers in Animal Science,26736225
Frontiers in Astronomy and Space Sciences,2296987X
Frontiers in Cell and Developmental Biology,2296634X
Frontiers in Cellular and Infection Microbiology,22352988
Frontiers in Cellular Neuroscience,16625102
Frontiers in Chemistry,22962646
Frontiers in Digital Health,2673253X
Frontiers in Ecology and Evolution,2296701X
Frontiers in Ecology and the Environment,15409295
Frontiers in Education,2504284X
Frontiers in Environmental Science,2296665X
Frontiers in Genetics,16648021
Frontiers in Immunology,16643224
Frontiers in Marine Science,22967745
Frontiers in Medical Technology,26733129
Frontiers in Medicine,2296858X
Frontiers in Microbiology,1664302X
Frontiers in Molecular Neuroscience,16625099
Frontiers in Pediatrics,22962360
Frontiers in Pharmacology,16639812
Frontiers in Physics,2296424X
Frontiers in Plant Science,1664462X
Frontiers in Psychiatry,16640640
Frontiers in Psychology,16641078
Frontiers in Public Health,22962565
Frontiers in Sports and Active Living,26249367
Frontiers in Veterinary Science,22971769
Fuel,162361
Functional Ecology,2698463
Future Cardiology,14796678
Games and Culture,15554120
Gender Issues,1098092X
"Gender, Place and Culture",0966369X
Gene,3781119
Genes,20734425
Genome Biology,14747596
Geochimica et Cosmochimica Acta,167037
Geoderma,167061
"Geography, Environment, Sustainability",20719388
GeoHealth,24711403
Geological Journal,721050
Geology,917613
Geomechanics and Engineering,2005307X
Geomechanics and Geoengineering,17486025
Geomechanics for Energy and the Environment,23523808
Geophysical Journal International,0956540X
Geosphere,1553040X
Geotechnical Testing Journal,1496115
Global Change Biology,13541013
Global Ecology and Conservation,23519894
Global Health Promotion,17579759
Global Media and Communication,17427665
Global Public Policy and Governance,27306291
Global Social Welfare,21968799
Granular Matter,14345021
Great Plains Quarterly,2757664
Harm Reduction Journal,14777517
Health Care Management Science,13869620
Health Communication,10410236
Health Environments Research and Design Journal,19375867
Heliyon,24058440
Higher Education Quarterly,9515224
Hispania,182133
Historical Social Research,1726404
History and Technology,7341512
HortScience,185345
HortTechnology,10630198
Human Brain Mapping,10659471
Human Communication Research,3603989
Human Factors,187208
Human Molecular Genetics,9646906
IEEE Access,21693536
IEEE Control Systems Letters,24751456
IEEE Internet of Things Journal,23274662
"IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology",24697249
IEEE Microwave and Wireless Components Letters,15311309
IEEE Microwave Magazine,15273342
IEEE Sensors Journal,1530437X
IEEE Systems Journal,19328184
IEEE Transactions on Antennas and Propagation,0018926X
IEEE Transactions on Automatic Control,189286
IEEE Transactions on Big Data,23327790
IEEE Transactions on Biomedical Engineering,189294
IEEE Transactions on Circuits and Systems I: Regular Papers,15498328
IEEE Transactions on Control of Network Systems,23255870
IEEE Transactions on Industrial Electronics,2780046
IEEE Transactions on Industrial Informatics,15513203
IEEE Transactions on Information Forensics and Security,15566013
IEEE Transactions on Instrumentation and Measurement,189456
IEEE Transactions on Intelligent Transportation Systems,15249050
IEEE Transactions on Knowledge and Data Engineering,10414347
IEEE Transactions on Microwave Theory and Techniques,189480
IEEE Transactions on Neural Networks and Learning Systems,2162237X
IEEE Transactions on Parallel and Distributed Systems,10459219
IEEE Transactions on Plasma Science,933813
IEEE Transactions on Professional Communication,3611434
IEEE Transactions on Quantum Engineering,26891808
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",21682216
IEEE Transactions on Vehicular Technology,189545
IET Renewable Power Generation,17521416
IISE Transactions on Healthcare Systems Engineering,24725579
Immunotherapy,1750743X
In Vivo,0258851X
Indoor and Built Environment,1420326X
Industrial and Engineering Chemistry Research,8885885
Industrial and Organizational Psychology,17549426
Industrial Crops and Products,9266690
Industrial Marketing Management,198501
Infectious Disease Modelling,24680427
Information (Switzerland),20782489
Information and Computer Security,20564961
Information and Management,3787206
Inorganica Chimica Acta,201693
Instruments,2410390X
Integrated Environmental Assessment and Management,15513793
Intelligence,1602896
Intelligent Automation and Soft Computing,10798587
International Journal for Numerical and Analytical Methods in Geomechanics,3639061
International Journal for Numerical Methods in Engineering,295981
International Journal for Parasitology: Drugs and Drug Resistance,22113207
International Journal for Quality in Health Care,13534505
International Journal for Vitamin and Nutrition Research,3009831
International Journal of Advanced Manufacturing Technology,2683768
International Journal of African Historical Studies,3617882
International Journal of Biometeorology,207128
International Journal of Coal Geology,1665162
International Journal of Computer Networks and Communications,9752293
International Journal of Computers and their Applications,10765204
International Journal of Contemporary Hospitality Management,9596119
International Journal of Crashworthiness,13588265
International Journal of Disaster Risk Reduction,22124209
International Journal of Eating Disorders,2763478
International Journal of Electrical and Electronic Engineering and Telecommunications,23192518
International Journal of Environmental Research,17356865
International Journal of Environmental Research and Public Health,16617827
International Journal of Environmental Science and Technology,17351472
"International Journal of Fashion Design, Technology and Education",17543266
International Journal of Financial Studies,22277072
International Journal of Food Microbiology,1681605
International Journal of Food Science and Technology,9505423
International Journal of Food Sciences and Nutrition,9637486
International Journal of Fruit Science,15538362
International Journal of Geomechanics,15323641
International Journal of Greenhouse Gas Control,17505836
International Journal of Heat and Mass Transfer,179310
International Journal of Hospitality Management,2784319
International Journal of Housing Markets and Analysis,17538270
International Journal of Hydrogen Energy,3603199
International Journal of Industrial Organization,1677187
International Journal of Information Management,2684012
International Journal of Interactive Mobile Technologies,18657923
International Journal of Kinesiology and Sports Science,2202946X
International Journal of Mental Health and Addiction,15571874
International Journal of Molecular Sciences,16616596
International Journal of Multicultural Education,19345267
International Journal of Multiphase Flow,3019322
International Journal of Numerical Analysis and Modeling,17055105
International Journal of Obesity,3070565
International Journal of Odonatology,13887890
"International Journal of Politics, Culture and Society",8914486
International Journal of Press/Politics,19401612
International Journal of Project Organisation and Management,17402891
International Journal of Qualitative Studies in Education,9518398
International Journal of Research and Method in Education,1743727X
International Journal of Research in Marketing,1678116
International Journal of Robotics and Control Systems,27752658
International Journal of Robust and Nonlinear Control,10498923
International Journal of Science and Mathematics Education,15710068
International Journal of Science Education,9500693
International Journal of Special Education,8273383
International Journal of Sport Communication,19363915
International Journal of Sports Physiology and Performance,15550265
International Journal of Structural Stability and Dynamics,2194554
International Journal of Sustainable Construction Engineering and Technology,21803242
International Journal of Systemic Therapy,2692398X
International Journal of Thermophysics,0195928X
International Public Management Journal,10967494
International Review of Law and Economics,1448188
International Review of Research in Open and Distance Learning,14923831
International Transactions in Operational Research,9696016
International Urogynecology Journal,9373462
International Wound Journal,17424801
Internet Research,10662243
IoT,2624831X
ISA Transactions,190578
iScience,25890042
ISME Journal,17517362
Issues in Accounting Education,7393172
IUCrJ,20522525
JACC: Case Reports,26660849
JAMA Network Open,25743805
JAMA Ophthalmology,21686165
Japanese Journal of Political Science,14681099
Jazz Research Journal,17538637
JBJS Case Connector,21603251
JCO Precision Oncology,24734284
JMIR Pediatrics and Parenting,25616722
JMIR Research Protocols,19290748
JOM,10474838
Journal for Specialists in Group Work,1933922
Journal of Academic Ethics,15701727
Journal of Addictions and Offender Counseling,10553835
Journal of Advanced Academics,1932202X
Journal of Advanced Veterinary and Animal Research,23117710
Journal of Advances in Modeling Earth Systems,19422466
Journal of Advertising Research,218499
Journal of Affective Disorders,1650327
Journal of Aging and Physical Activity,10638652
Journal of Agricultural and Resource Economics,10685502
Journal of Agriculture and Food Research,26661543
Journal of Algebra,218693
Journal of Allergy and Clinical Immunology,916749
Journal of Ambulatory Care Management,1489917
Journal of American College Health,7448481
Journal of American Culture,15427331
Journal of Analytical Atomic Spectrometry,2679477
Journal of Animal Ecology,218790
Journal of Animal Science,218812
Journal of Applied Communication Research,909882
Journal of Applied Developmental Psychology,1933973
Journal of Applied Meteorology and Climatology,15588424
Journal of Applied Microbiology,13645072
Journal of Applied Physics,218979
Journal of Applied Psychology,219010
Journal of Applied Social Psychology,219029
Journal of Applied Statistics,2664763
Journal of Archaeological Science: Reports,2352409X
Journal of Architectural Education,10464883
Journal of Arid Land,16746767
Journal of Atmospheric and Oceanic Technology,7390572
Journal of Behavioral and Experimental Economics ,22148043
Journal of Behavioral Medicine,1607715
Journal of Biogeography,3050270
Journal of Biological Chemistry,219258
Journal of Biomechanics,219290
Journal of Biomedical Optics,10833668
Journal of Biophotonics,1864063X
Journal of Bone and Joint Surgery,219355
Journal of Brand Management,1350231X
Journal of Bridge Engineering,10840702
Journal of Broadcasting and Electronic Media,8838151
Journal of Business and Technical Communication,10506519
Journal of Business Ethics,1674544
Journal of Business Ethics Education,16495195
Journal of Business Research,1482963
Journal of Business Venturing,8839026
Journal of Business Venturing Insights,23526734
Journal of Cancer Education,8858195
Journal of Central South University,20952899
Journal of Chemical and Engineering Data,219568
Journal of Chemical Physics,219606
Journal of Chemical Theory and Computation,15499618
Journal of Chemical Thermodynamics,219614
Journal of Child and Family Studies,10621024
Journal of Children and Media,17482798
Journal of Cleaner Production,9596526
Journal of Clinical Psychology,219762
Journal of Clinical Psychology in Medical Settings,10689583
Journal of Colloid and Interface Science,219797
Journal of Communication,219916
"Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology",1741578
Journal of Composite Materials,219983
Journal of Computational Chemistry,1928651
Journal of Computational Physics,219991
Journal of Computational Science,18777503
Journal of Computer Assisted Learning,2664909
Journal of Computing in Higher Education,10421726
Journal of Conflict Archaeology,15740773
Journal of Consulting and Clinical Psychology,0022006X
Journal of Consumer Affairs,220078
Journal of Consumer Behaviour,14720817
Journal of Contaminant Hydrology,1697722
Journal of Continuing Education in Nursing,220124
Journal of Counseling and Development,7489633
Journal of Couple and Relationship Therapy,15332691
Journal of Creativity in Mental Health,15401383
Journal of Curriculum Studies,220272
Journal of Dairy Science,220302
Journal of Difference Equations and Applications,10236198
Journal of Disability Policy Studies,10442073
Journal of Diversity in Higher Education,19388926
Journal of Divorce and Remarriage,10502556
Journal of Early Adolescence,2724316
Journal of Ecology,220477
Journal of Economic Behavior and Organization,1672681
Journal of Economic Dynamics and Control,1651889
Journal of Economics and Finance,10550925
Journal of Economics and Management Strategy,10586407
Journal of Education,220574
Journal of Educational Psychology,220663
Journal of Educational Research,220671
"Journal of Elections, Public Opinion and Parties",17457289
Journal of Electrical Bioimpedance,18915469
Journal of Emergency Management,15435865
Journal of Energy Storage,2352152X
Journal of Engineering Research (Kuwait),23071885
Journal of Environmental Accounting and Management,23256192
Journal of Environmental Chemical Engineering,22133437
Journal of Environmental Management,3014797
Journal of Epidemiology and Community Health,0143005X
Journal of Equine Veterinary Science,7370806
Journal of Essential Oil-Bearing Plants,0972060X
Journal of Ethnicity in Substance Abuse,15332640
Journal of Exercise Science and Fitness,1728869X
Journal of Experimental Biology,220949
Journal of Experimental Botany,220957
Journal of Family and Economic Issues,10580476
Journal of Family Communication,15267431
Journal of Family Nursing,10748407
Journal of Family Theory and Review,17562570
Journal of Field Ornithology,2738570
Journal of Financial Counseling and Planning,10523073
Journal of Financial Economic Policy,17576385
Journal of Financial Stability,15723089
Journal of Financial Therapy,19457774
Journal of Fluency Disorders,0094730X
Journal of Fluid Mechanics,221120
Journal of Fluids and Structures,8899746
Journal of Food Protection,0362028X
Journal of Food Safety,1496085
Journal of Food Science,221147
Journal of Food Science and Technology,221155
Journal of Functional Morphology and Kinesiology,24115142
Journal of Gaming and Virtual Worlds,1757191X
Journal of Gay and Lesbian Social Services,10538720
Journal of Geophysical Research: Atmospheres,2169897X
Journal of Green Building,15526100
Journal of Happiness Studies,13894978
Journal of Hazardous Materials,3043894
Journal of Hazardous Materials Advances,27724166
Journal of Hazardous Materials Letters,26669110
Journal of Health Psychology,13591053
"Journal of Health, Population and Nutrition",16060997
Journal of Heterocyclic Chemistry,0022152X
Journal of High Energy Physics,10298479
Journal of Higher Education,221546
Journal of Hispanic Higher Education,15381927
Journal of Hospitality and Tourism Research,10963480
Journal of Human Resources in Hospitality and Tourism,15332845
Journal of Human Sport and Exercise,19885202
Journal of Hunger and Environmental Nutrition,19320248
Journal of Industrial Engineering and Management,20138423
Journal of Information and Telecommunication,24751839
Journal of Infrastructure Systems,10760342
Journal of Institutional Economics,17441374
Journal of Instrumentation,17480221
Journal of Integrative Plant Biology,16729072
Journal of Intelligent Manufacturing,9565515
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",15472450
Journal of Interactive Learning Research,1093023X
Journal of Intercultural Communication,14041634
Journal of Interpersonal Violence,8862605
Journal of Knot Theory and its Ramifications,2182165
Journal of Macromarketing,2761467
Journal of Magnetism and Magnetic Materials,3048853
Journal of Mammalogy,222372
Journal of Management Accounting Research,10492127
Journal of Management Studies,222380
Journal of Manufacturing Processes,15266125
Journal of Manufacturing Science and Engineering,10871357
Journal of Marital and Family Therapy,0194472X
Journal of Mathematical Analysis and Applications,0022247X
Journal of Mathematical Economics,3044068
Journal of Mathematical Sciences (United States),10723374
Journal of Medical Systems,1485598
Journal of Microbiological Methods,1677012
Journal of Micromechanics and Molecular Physics,24249130
Journal of Molecular Biology,222836
Journal of Molecular Liquids,1677322
Journal of Multivariate Analysis,0047259X
Journal of Musculoskeletal Neuronal Interactions,11087161
Journal of Natural Fibers,15440478
Journal of Natural Gas Science and Engineering,18755100
Journal of Nematology,0022300X
"Journal of Nondestructive Evaluation, Diagnostics and Prognostics of Engineering Systems",25723901
Journal of Nonlinear Science,9388974
Journal of Nutrition,223166
Journal of Nutritional Biochemistry,9552863
Journal of Occupational and Environmental Medicine,10762752
Journal of Occupational and Organizational Psychology,9631798
Journal of Organic Chemistry,223263
Journal of Orthopaedic Trauma,8905339
Journal of Pain Research,11787090
Journal of Pediatric Surgery Case Reports,22135766
Journal of Personal Selling and Sales Management,8853134
Journal of Petroleum Science and Engineering,9204105
Journal of Petrology,223530
Journal of Pharmacology and Pharmacotherapeutics,0976500X
Journal of Physical Chemistry B,15206106
Journal of Physical Chemistry C,19327447
Journal of Physical Chemistry Letters,19487185
Journal of Physics A: Mathematical and Theoretical,17518113
Journal of Physics D: Applied Physics,223727
Journal of Plant Biochemistry and Biotechnology,9717811
Journal of Plant Nutrition and Soil Science,14368730
Journal of Policy Studies,27999130
Journal of Popular Culture,223840
Journal of Population Ageing,18747884
Journal of Porous Materials,13802224
Journal of Power Sources,3787753
Journal of Pre-College Engineering Education Research,21579288
Journal of Prevention,27315533
Journal of Private Enterprise,0890913X
Journal of Product and Brand Management,10610421
Journal of Psychoeducational Assessment,7342829
Journal of Psychopathology and Behavioral Assessment,8822689
Journal of Public Administration Research and Theory,10531858
"Journal of Public Budgeting, Accounting and Financial Management",10963367
Journal of Public Health (Germany),21981833
Journal of Public Policy,0143814X
Journal of Pure and Applied Algebra,224049
Journal of Raptor Research,8921016
Journal of Real Estate Research,8965803
Journal of Research in Personality,926566
Journal of Research in Reading,1410423
Journal of Research on Technology in Education,15391523
Journal of Retailing and Consumer Services,9696989
Journal of Rheology,1486055
Journal of Risk,14651211
Journal of Risk and Financial Management,19118074
Journal of Science and Medicine in Sport,14402440
Journal of Second Language Writing,10603743
Journal of Sex and Marital Therapy,0092623X
Journal of Sexual Medicine,17436095
Journal of Sleep Research,9621105
Journal of Social and Personal Relationships,2654075
Journal of Soils and Sediments,14390108
Journal of Sound and Vibration,0022460X
Journal of South American Earth Sciences,8959811
Journal of Special Education Technology,1626434
Journal of Sport Management,8884773
Journal of Statistical Theory and Practice,15598608
Journal of Strength and Conditioning Research,10648011
Journal of Structural Engineering (United States),7339445
Journal of Structural Geology,1918141
Journal of Systems Architecture,13837621
Journal of Teacher Education,224871
Journal of Technology and Chinese Language Teaching,1949260X
Journal of Technology in Behavioral Science,23665963
Journal of the American Association of Nurse Practitioners,23276886
Journal of the American Chemical Society,27863
Journal of the American Heart Association,20479980
Journal of the American Mosquito Control Association,8756971X
Journal of the American Society for Mass Spectrometry,10440305
Journal of the Atmospheric Sciences,224928
Journal of the Brazilian Society of Mechanical Sciences and Engineering,16785878
Journal of the Electrochemical Society,134651
Journal of the International Society of Sports Nutrition,15502783
Journal of Thermal Spray Technology,10599630
Journal of Transnational American Studies,19400764
Journal of Transportation Engineering Part B: Pavements,25735438
Journal of Travel and Tourism Marketing,10548408
Journal of Urban Health,10993460
Journal of Value Inquiry,225363
Journal of Veterinary Diagnostic Investigation,10406387
Journal of Veterinary Pharmacology and Therapeutics,1407783
Journal of Vibration and Acoustics,10489002
Journal of Visual Impairment and Blindness,0145482X
Journal of Visual Literacy,1051144X
Journal of Visualization,13438875
Journal of Visualized Experiments,1940087X
Journal of Vocational Rehabilitation,10522263
Journal of Water Process Engineering,22147144
Journal of Wildlife Management,0022541X
Journal of Wind Engineering and Industrial Aerodynamics,1676105
Journal of Women and Aging,8952841
Journal of Women and Minorities in Science and Engineering,10728325
"Journal of Women, Politics and Policy",1554477X
Journal of Women's Health,15409996
Journal of Youth and Adolescence,472891
Journal on Multimodal User Interfaces,17837677
Journalism Practice,17512786
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,10795014
Kinesiology Review,21630453
KSII Transactions on Internet and Information Systems,19767277
Lab on a Chip,14730197
Landscape and Urban Planning,1692046
Landscape Ecology,9212973
Langmuir,7437463
Language and Education,9500782
Language Awareness,9658416
Language in Society,474045
Latin American and Caribbean Ethnic Studies,17442222
Latin American and Latinx Visual Culture,25760947
Latin American Research Review,238791
Law Library Journal,239283
Leadership,17427150
